Question, PDF, Page, Answer
What us 1 Btu in Joules?, project2/input/ncert_physics_class_11_part_1/keph1a1.pdf, 4, 1054.35 J
What is Solution to 6.3?, project2/input/ncert_physics_class_11_part_1/keph1an.pdf, 6, The speed of the CM of the (trolley + child) system remains unchanged (equal to v) because no external force acts on the system. The forces involved in running on the trolley are internal to this system.
Who are the members of textbook development committee?, project2/input/ncert_physics_class_11_part_1/keph1ps.pdf, 7, Anuradha Mathur, Chitra Goel, Gagan Gupta, H.C. Pradhan, N. Panchapakesan, P.K. Srivastava, P.K. Mohanty, P.C. Agarwal, R. Joshi, S. Rai Choudhary, S.K. Dash, Sher Singh, S.N. Prabhakara, Thiyam Jekendra Singh, V.P. Srivastava
Under whose chairmanship was the textbook prepared?, project2/input/ncert_physics_class_11_part_1/keph1ps.pdf, 9, Professor T. V. Ramakrishnan, F.R.S
Who was the Chief Advisor of the Textbook Development Committee?, project2/input/ncert_physics_class_11_part_1/keph1ps.pdf, 11, A. W. Joshi
What message did R.P. Feynman want to leave for future beings?, project2/input/ncert_physics_class_11_part_1/keph1ps.pdf, 12, "Matter is made up of atoms"
What message did the literature teacher want to leave for future generations?, project2/input/ncert_physics_class_11_part_1/keph1ps.pdf, 12, "Water existed, so human beings could happen"
What message did another person suggest about motion?, project2/input/ncert_physics_class_11_part_1/keph1ps.pdf, 12, "Idea of wheel for motion"
What page number covers "6.10 Kinematics of rotational motion about a fixed axis"?, project2/input/ncert_physics_class_11_part_1/keph1ps.pdf, 14, 116
5.74 g of a substance occupies 1.2 cm3. Express its density by keeping the significant figures in view., project2/input/ncert_physics_class_11_part_1/keph101.pdf, , 4.8 g cm-3
The position of an object moving along x-axis is given by x = a + bt² where a = 8.5 m, b = 2.5 m s⁻² and t is measured in seconds. What is its velocity at t = 0 s and t = 2.0 s? What is the average velocity between t = 2.0 s and t = 4.0 s?, project2/input/ncert_physics_class_11_part_1/keph102.pdf, 3, At t = 0 s, v = 0 m s⁻¹ and at t = 2.0 s, v = 10 m s⁻¹. Average velocity between t = 2.0 s and t = 4.0 s is 15 m s⁻¹
A motorboat is racing towards north at 25 km/h and the water current in that region is 10 km/h in the direction of 60° east of south. Find the resultant velocity of the boat., project2/input/ncert_physics_class_11_part_1/keph103.pdf, 8, 22 km/h at an angle of 23.4° east of north
How many triangles are there in fig 3.18?, project2/input/ncert_physics_class_11_part_1/keph103.pdf, 15, 4
In the MOTION IN A PLANE chapter, how many exercises are there?, project2/input/ncert_physics_class_11_part_1/keph103.pdf, 20-22, 22
A mass of 6 kg is suspended by a rope of length 2 m from the ceiling. A force of 50 N in the horizontal direction is applied at the midpoint P of the rope. What is the angle the rope makes with the vertical in equilibrium? (Take g = 10 m s-2)., project2/input/ncert_physics_class_11_part_1/keph104.pdf, 10, tan θ = 50/60 = 5/6, so θ = tan⁻¹(5/6)
What is the downward force executed on the block in the block and trolley system shown in Fig. 4.12(a)?, project2/input/ncert_physics_class_11_part_1/keph104.pdf, 13, 30 N
In fig 4.15 bottom figure, what is the force acting downwards?, project2/input/ncert_physics_class_11_part_1/keph104.pdf, 17, 270 N
How many summary points are there in the chapter laws of motion?, project2/input/ncert_physics_class_11_part_1/keph104.pdf, 18-19, 8
The speed is reduced by approximately 68% (not 90%) what is the question text above it?, project2/input/ncert_physics_class_11_part_1/keph105.pdf, 5, Example 5.4  In a ballistics demonstration a police officer fires a bullet of mass 50.0 g with speed 200 m s-1 (see Table 5.2) on soft plywood of thickness 2.00 cm.  The bullet emerges with only 10% of its initial kinetic energy.  What is the emergent speed of the bullet ?
what is the case 2 of collisions in 1 dimennsions?, project2/input/ncert_physics_class_11_part_1/keph105.pdf, 14, If one mass dominates, e.g. m2 > > m1 v1f  ~ − v1i      v2f ~ 0 The  heavier  mass  is  undisturbed  while  the lighter mass reverses its velocity.
how many people are in the fig 5.13?, project2/input/ncert_physics_class_11_part_1/keph105.pdf, 19, 2
