Question, PDF, Page, Answer
What simple apparatus is used to detect charge on a body?, project2/input/ncert_physics_class_12_part_1/leph101.pdf, 3, gold-leaf electroscope
How is the potential energy of a charge q at position r in an external field written?, project2/input/ncert_physics_class_12_part_1/leph102.pdf, 15, qV(r)
What is 1 electron volt in joules?, project2/input/ncert_physics_class_12_part_1/leph102.pdf, 15, 1.6 x 10^-19 J
What is the SI unit of current?, project2/input/ncert_physics_class_12_part_1/leph103.pdf, 2, ampere
Which physicist noticed that a current in a straight wire deflects a nearby magnetic compass needle?, project2/input/ncert_physics_class_12_part_1/leph104.pdf, 1, Hans Christian Oersted
Do isolated magnetic north and south poles exist?, project2/input/ncert_physics_class_12_part_1/leph105.pdf, 2, No. Magnetic monopoles do not exist.
Whose pioneering experiments led directly to the development of modern generators and transformers?, project2/input/ncert_physics_class_12_part_1/leph106.pdf, 2, Faraday and Henry
According to Lenz's law what does the induced current oppose?, project2/input/ncert_physics_class_12_part_1/leph106.pdf, 7, The change in magnetic flux that produced it.
What is the rms current I in terms of the peak current i_m?, project2/input/ncert_physics_class_12_part_1/leph107.pdf, 20, I = i_m/sqrt(2) = 0.707 i_m
What speed of light is quoted when discussing electromagnetic waves?, project2/input/ncert_physics_class_12_part_1/leph108.pdf, 2, 3 x 10^8 m/s
What wavelength range of the electromagnetic spectrum is called light?, project2/input/ncert_physics_class_12_part_2/leph201.pdf, 1, about 400 nm to 750 nm
For a telescope with objective focal length 100 cm and eyepiece focal length 1 cm what is its magnifying power?, project2/input/ncert_physics_class_12_part_2/leph201.pdf, 25, 100
How is a wavefront defined?, project2/input/ncert_physics_class_12_part_2/leph202.pdf, 3, A surface of constant phase.
What is the accepted value of e/m for cathode ray particles?, project2/input/ncert_physics_class_12_part_2/leph203.pdf, 2, 1.76 x 10^11 C/kg
Who discovered photoelectric emission in 1887?, project2/input/ncert_physics_class_12_part_2/leph203.pdf, 3, Heinrich Hertz
What was the thickness of the gold foil used in Rutherford's scattering experiment?, project2/input/ncert_physics_class_12_part_2/leph204.pdf, 3, 2.1 x 10^-7 m
What is the ground state energy E1 of the hydrogen atom?, project2/input/ncert_physics_class_12_part_2/leph204.pdf, 11, -13.6 eV
What is 1 atomic mass unit in kilograms?, project2/input/ncert_physics_class_12_part_2/leph205.pdf, 2, 1.660539 x 10^-27 kg
Which elemental semiconductors are specifically studied in this chapter?, project2/input/ncert_physics_class_12_part_2/leph206.pdf, 3, Si and Ge
In an unbiased p-n junction why do holes diffuse from the p-region to the n-region?, project2/input/ncert_physics_class_12_part_2/leph206.pdf, 20, Because hole concentration in the p-region is more than in the n-region.
