question,answer
What is the 100th prime number?,541
What is 108 km/hr in m/s?,30.0
What is the factorial of 10?,3628800
What is the sum of first 50 natural numbers?,1275
What is 2^20?,1048576
What is the square root of 1024?,32.0
What is the 15th Fibonacci number?,610
What is 15% of 250?,37.5
What is the greatest common divisor of 48 and 180?,12
What is the least common multiple of 12 and 15?,60
What is the area of a circle with radius 7? (round to 3 decimal places),153.938
What is the volume of a sphere with radius 3? (round to 3 decimal places),113.097
What is sin(45 degrees) in radians? (round to 3 decimal places),0.707
What is log base 10 of 1000?,3.0
What is the sum of digits of 12345?,15
What is 2^10 + 3^5?,1267
What is the perimeter of a rectangle with length 8 and width 5?,26
What is the average of first 20 odd numbers?,20
What is 17 choose 3?,680
What is the remainder when 1000 is divided by 7?,6
